Identifier,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/18/2021,5/19/2021,5/20/2021,5/21/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/27/2021,5/28/2021,5/29/2021,5/30/2021,5/31/2021
Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,53,66,73,78,80,80,84,85,93,97,102,102,102,108,111,113,116,118,118,118,120,127,130,136,147,147,147,158,165,178,185,191,193,194,197,235,281,234,240,248,251,265,287,300,311,343,351,356,383,389,421,441,462,471,480,502,523,544,562,578,587,603,650,700,748,782,819,,832,880,,945,,,1028,1034,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,42,52,59,52,51,48,51,50,55,53,54,47,45,46,39,52,34,29,29,29,24,31,32,31,37,37,37,42,45,57,61,70,72,73,69,69,81,89,85,88,88,96,114,120,70,146,146,146,164,160,184,199,199,213,212,218,220,230,224,206,209,219,243,274,305,312,335,,327,353,,382,,,390,385,354,336,,267,,,249,307,319,335,359,,372,374,394,414,338,469,481,483,473,464,464,479,497,,,,,,,,,,,,,,,,,,,,513,597,665,737,,730,763,787,800,810,847,,784,693,736,734,742,742,,671,769,781,783,796,,,790,779,746,709,680,,,559,535,546,491,474,,,396,,302,236,,189,191,189,238,280,291,329,342,341,344,344,401,429,457,,443,438,371,372,368,354,,,348,,300,266,,209,196,199,203,234,244,240,,,244,255,271,281,,,,,221,230,244,254,,,235,229,224,222,220,,,220,230,232,231,231,,,223,222,226,230,230,,,218,229,219,211,207,,,198,189,181,168,164,,,146,121,120,97,,,,73,65,61,55,,,,
Active Student Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,26,34,36,34,33,30,32,31,36,36,39,34,33,32,27,37,25,22,22,22,18,24,26,25,29,29,29,32,34,41,45,53,55,56,51,49,59,66,62,64,64,69,84,92,51,112,113,113,128,125,146,161,161,167,167,167,168,176,168,148,148,157,172,191,213,216,236,,231,263,267,284,298,301,291,287,255,237,,178,,,148,191,207,217,236,,244,244,269,291,312,338,346,346,335,329,329,339,355,,,,,,,,,,,,,,,,,,,,297,371,429,487,,496,533,555,578,589,621,,585,508,548,543,549,552,,501,579,601,603,606,,,609,610,589,557,540,,,443,428,431,386,375,,,312,,233,179,,133,132,121,145,186,190,223,236,235,236,236,286,305,305,,323,322,268,280,277,269,,,263,,217,192,,148,140,139,141,170,180,185,,,189,200,216,231,,,,,185,201,212,222,,,212,208,206,205,208,,,207,216,216,216,217,,,208,203,204,208,208,,,195,205,196,186,181,,,174,166,160,146,143,,,126,106,108,88,,,,64,59,55,51,,,,
Active Staff Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,18,23,18,18,18,19,19,19,17,15,13,12,14,12,15,9,7,7,7,6,7,6,6,8,8,8,10,11,16,16,17,17,17,18,20,22,23,23,24,24,27,30,28,19,34,33,33,36,35,38,38,38,46,45,51,52,54,56,58,61,62,71,83,92,96,99,,96,90,98,98,98,102,99,98,99,99,,89,,,101,116,112,118,123,,128,130,125,123,126,131,137,137,138,135,135,140,142,,,,,,,,,,,,,,,,,,,,216,226,236,250,,234,230,232,222,221,226,,199,185,188,191,193,190,,170,190,186,180,190,,,181,169,157,152,140,,,116,107,115,106,99,,,84,,69,57,,56,59,68,83,94,101,106,106,106,108,108,115,124,124,,120,116,103,92,91,85,,,85,,83,74,,61,56,60,62,64,64,55,,,55,55,55,50,,,,,36,29,32,32,,,23,21,18,17,15,,,13,14,16,15,14,,,15,19,22,22,22,,,23,24,23,25,26,,,24,23,21,22,21,,,20,15,12,9,,,,9,6,6,4,,,,
Active F2F Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,20,27,27,26,26,25,25,24,28,26,28,25,24,23,21,28,20,16,16,16,15,21,22,23,26,26,26,28,31,38,41,44,46,47,44,44,51,56,51,52,52,58,73,79,47,100,101,100,115,115,135,151,151,158,158,158,158,166,158,138,139,147,163,180,199,202,218,,214,244,245,260,274,279,268,267,237,220,,167,,,139,178,195,196,211,,219,218,238,260,278,302,306,306,295,293,293,306,325,,,,,,,,,,,,,,,,,,,,278,349,402,453,,460,488,508,532,546,569,,535,464,503,497,507,511,,463,530,544,557,563,,,566,566,545,515,503,,,421,406,406,361,351,,,292,,220,167,,125,125,115,142,178,182,207,220,220,221,221,266,284,284,,303,303,250,263,263,256,,,249,,206,183,,140,132,132,132,156,165,169,,,178,183,196,207,,,,,168,186,196,206,,,198,197,199,198,200,,,198,205,202,202,202,,,193,189,189,194,194,,,185,196,187,176,171,,,166,157,148,136,133,,,119,99,101,82,,,,59,55,53,49,,,,
Active KVA Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,7,9,8,7,5,7,7,8,10,11,9,9,9,6,9,5,6,6,6,3,3,4,2,3,3,3,4,3,3,4,9,9,9,7,5,8,10,11,12,12,11,11,13,4,12,12,13,13,10,11,10,10,9,9,9,10,10,10,10,9,10,9,11,14,14,18,,17,19,22,24,24,22,23,20,18,17,,11,,,9,13,12,21,25,,25,26,31,31,34,36,40,40,40,36,36,33,30,,,,,,,,,,,,,,,,,,,,19,22,27,34,,36,45,47,46,43,52,,50,44,45,46,42,41,,38,49,57,46,43,,,43,44,44,42,37,,,22,22,25,25,24,,,20,,13,12,,8,7,6,3,8,8,16,16,15,15,15,20,21,21,,20,19,18,17,14,13,,,14,,11,9,,8,8,7,9,14,15,16,,,11,17,20,24,,,,,17,15,16,16,,,14,11,7,7,8,,,9,11,14,14,15,,,15,14,15,14,14,,,10,9,9,10,10,,,8,9,12,10,10,,,7,7,7,6,,,,5,4,2,2,,,,
Elementary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,25,25,25,25,28,32,32,33,33,33,32,33,34,36,36,36,36,36,40,40,41,46,46,46,49,50,54,57,58,58,58,59,69,79,65,68,71,71,79,84,87,91,99,100,101,107,107,122,133,139,145,146,151,160,170,179,187,190,195,210,225,242,251,262,,264,282,,301,,,318,319,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,17,17,17,20,20,22,24,25,25,25,26,28,28,28,29,29,29,29,29,29,32,34,34,34,37,41,44,47,49,49,49,49,52,59,55,56,57,57,60,63,67,68,72,72,73,79,81,85,88,93,94,98,105,109,114,116,116,117,119,126,131,138,149,160,,163,175,,190,,,210,212,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,26,28,30,30,30,31,33,34,36,36,36,39,39,40,41,42,42,42,44,47,50,52,55,55,55,58,60,64,65,68,70,71,72,87,101,95,96,99,102,107,120,125,131,148,155,158,171,174,186,191,200,202,205,213,218,223,229,237,242,251,272,298,318,329,342,,347,366,,395,,,435,437,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,8,8,8,9,6,6,7,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,12,14,14,16,16,16,16,16,17,27,42,19,20,20,20,19,20,21,21,24,24,24,26,27,28,28,28,28,29,30,33,34,35,35,35,35,39,43,47,50,52,,55,54,,56,,,62,63,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
